FULLNAME,CLADE1,CLADE2,,,
Solanum gabrielae Domin,Leptostemonum,EHS-Australia,,,
Solanum galactites A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum galapagense S.C.Darwin & Peralta,Potato,Tomato,,,
Solanum galbinum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum gandarillasii Càrdenas,Potato,Petota,,,
Solanum garcia-barrigae Ochoa,Potato,Petota,,,
Solanum gardneri Sendtn.,Leptostemonum,Gardneri,,,
Solanum gertii S.Knapp,Geminata,Geminata,,,
Solanum gibbsiae J.R.Drumm.,Leptostemonum,EHS-New Guinea,,,
Solanum giganteum Jacq.,Leptostemonum,EHS-Africa,,,
Solanum gilesii Symon,Leptostemonum,EHS-Australia,,,
Solanum gilioides Rusby,Morelloid,Section Solanum,,,
Solanum glabratum Dunal,Leptostemonum,EHS-Africa,,,
Solanum glandulosipilosum Bitter,Morelloid,Section Solanum,,,
Solanum glaucescens Zucc.,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum glaucophyllum Desf.,Cyphomandra,Cyphomandropsis,,,
Solanum glutinosum Dunal,Leptostemonum,Torva,,,
Solanum gnaphalocarpon Vell.,Geminata,Geminata,,,
Solanum goetzei Dammer,Leptostemonum,EHS-Africa,,,
Solanum gomphodes Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum goniocaulon S.Knapp,Geminata,Geminata,,,
Solanum gonocladum Dunal,Morelloid,Section Solanum,,,
Solanum gonyrhachis S.Knapp,Geminata,Geminata,,,
Solanum goodspeedii K.E.Roe,Brevantherum,Brevantherum s.s.,,,
Solanum graciliflorum Dunal,Leptostemonum,EHS-Tropical Asia,,,
Solanum gracilifrons Bitter,Potato,Petota,,,
Solanum grandidentatum Phil.,Morelloid,Section Solanum,,,
Solanum grandiflorum Ruiz & Pav. [3],Leptostemonum,Androceras-Crinitum,,,
Solanum graniticola V.S.Samp. & Gouvêa,Leptostemonum,Thomasiifolium,,,
Solanum graniticum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum granuloso-leprosum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum gratum Bitter,Geminata,Geminata,,,
Solanum graveolens Bunbury,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum grayi Rose,Leptostemonum,Androceras-Crinitum,,,
Solanum guamense Merr.,Leptostemonum,EHS-Irenosolanum,,,
Solanum guaraniticum A.St.-Hil.,Leptostemonum,Torva,,,
Solanum guerreroense Correll,Potato,Petota,,,
Solanum guineense L. [3],African non-spiny,African non-spiny,,,
Solanum gundlachii Urb.,Leptostemonum,Leptostemonum_unplaced,,,
Solanum gympiense Symon,Leptostemonum,EHS-Australia,,,
Solanum habrocaulon S.Knapp,Geminata,Geminata,,,
Solanum habrochaites S.Knapp & D.M.Spooner,Potato,Tomato,,,
Solanum hamulosum C.T.White,Leptostemonum,EHS-Australia,,,
Solanum hapalum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum harmandii Bonati,Leptostemonum,EHS-Tropical Asia,,,
Solanum hasslerianum Chodat,Leptostemonum,Sisymbriifolium,,,
Solanum hastifolium Hochst. ex Dunal,Leptostemonum,EHS-Africa,,,
Solanum hastiforme Correll,Potato,Petota,,,
Solanum havanense Jacq.,Geminata,Geminata,,,
Solanum hayesii Fernald,Leptostemonum,Torva,,,
Solanum hazenii Britton,Brevantherum,Brevantherum s.s.,,,
Solanum heinianum D'Arcy & R.C.Keating,Leptostemonum,EHS-Madagascar,,,
Solanum heiseri G.J.Anderson,Potato,Basarthrum,,,
Solanum heleonastes S.Knapp,Geminata,Geminata,,,
Solanum herbabona Reiche,Potato,Regmandra,,,
Solanum herculeum Bohs,Normania,Normania,,,
Solanum hesperium Symon,Leptostemonum,EHS-Australia,,,
Solanum heterodoxum Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum heteropodium Symon,Leptostemonum,EHS-Australia,,,
Solanum hexandrum Vell.,Leptostemonum,Erythrotrichum,,,
Solanum hibernum Bohs,Cyphomandra,Cyphomandropsis,,,
Solanum hieronymi Kuntze,Leptostemonum,Hieronymi,,,
Solanum hillebrandii H.St.John,Leptostemonum,EHS-Irenosolanum,,,
Solanum hindsianum Benth.,Leptostemonum,Elaeagnifolium,,,
Solanum hintonii Correll,Potato,Petota,,,
Solanum hirtellum (Spreng.) Hassl.,Brevantherum,Brevantherum s.s.,,,
Solanum hirtulum Steud. ex A.Rich.,Morelloid,Section Solanum,,,
Solanum hirtum Vahl,Leptostemonum,Lasiocarpa,,,
Solanum hjertingii Hawkes,Potato,Petota,,,
Solanum hoehnei C.V.Morton,Nemorense,Nemorense,,,
Solanum hoffmanseggii Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum homalospermum Chiarini,Leptostemonum,Elaeagnifolium,,,
Solanum hoplopetalum Bitter & Summerh.,Leptostemonum,EHS-Australia,,,
Solanum horridum Dunal,Leptostemonum,EHS-Australia,,,
Solanum hougasii Correll,Potato,Petota,,,
Solanum houstonii Martyn,Leptostemonum,Elaeagnifolium,,,
Solanum hovei Dunal,Leptostemonum,EHS-Tropical Asia,,,
Solanum huancabambense Ochoa,Potato,Petota,,,
Solanum huayavillense Del Vitto & Peten.,Morelloid,Section Solanum,,,
Solanum huaylasense Peralta,Potato,Tomato,,,
Solanum hugonis Heine,Leptostemonum,EHS-Irenosolanum,,,
Solanum huilense Bohs,Cyphomandra,Pachyphylla,,,
Solanum humblotii Dammer,African non-spiny,African non-spiny,,,
Solanum humboldtianum Granados-Tochoy & S.Knapp,Geminata,Geminata,,,
Solanum humectophilum Ochoa,Potato,Petota,,,
Solanum humile Lam.,Leptostemonum,EHS-Africa,,,
Solanum hunzikeri Chiarini & Cantero,Morelloid,,,,
Solanum hutchisonii (J.F.Macbr.) Bohs,Cyphomandra,Cyphomandropsis,,,
Solanum hydroides  Gouvêa & Giacomin,Leptostemonum,,,,
Solanum hypacrarthrum Bitter,Potato,Petota,,,
Solanum hypaleurotrichum Bitter,Geminata,Geminata,,,
Solanum hypocalycosarcum Bitter,Geminata,Geminata,,,
Solanum hyporhodium A.Braun & C.D.Bouch?,Leptostemonum,Lasiocarpa,,,
Solanum hystrix R.Br.,Leptostemonum,EHS-Australia,,,
Solanum igniferum Gouva & Stehmann,Leptostemonum,Asterophorum,,,
Solanum iltisii K.E.Roe,Brevantherum,Brevantherum s.s.,,,
Solanum imamense Dunal,African non-spiny,African non-spiny,,,
Solanum imbaburense S.Knapp,Dulcamaroid,Nitidum,,,
Solanum imberbe Bitter,Geminata,Geminata,,,
Solanum immite Dunal,Potato,Petota,,,
Solanum inaequilaterum Domin,Leptostemonum,EHS-Australia,,,
Solanum inaequiradians Werderm.,Leptostemonum,EHS-Africa,,,
Solanum inamoenum Benth.,Leptostemonum,EHS-Irenosolanum,,,
Solanum incanoalabastrum Symon,Leptostemonum,EHS-Dunaliana,,,
Solanum incanum L. [4],Leptostemonum,EHS-Africa,,,
Solanum incarceratum Ruiz & Pav.,Leptostemonum,Acanthophora,,,
Solanum incasicum Ochoa,Potato,Petota,,,
Solanum incompletum Dunal,Leptostemonum,EHS-Irenosolanum,,,
Solanum incomptum Bitter,Geminata,Geminata,,,
Solanum incurvum Ruiz & Pav.,Potato,Pteroidea,,,
Solanum indivisum Witasek ex J.R.Benn.,Potato,Regmandra,,,
Solanum inelegans Rusby,Brevantherum,Brevantherum s.s.,,,
Solanum infundibuliforme Phil.,Potato,Petota,,,
Solanum infuscatum Symon,Leptostemonum,EHS-New Guinea,,,
Solanum innoxium A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum inodorum Vell.,Dulcamaroid,South American,,,
Solanum inornatum Witasek,Brevantherum,Inornatum,,,
Solanum insanum L.,Leptostemonum,EHS-Tropical Asia,,,
Solanum insidiosum Mart.,Leptostemonum,Erythrotrichum,,,
Solanum insulae-pinorum Heine,Leptostemonum,EHS-Irenosolanum,,,
Solanum interandinum Bitter,Morelloid,Section Solanum,,,
Solanum interius Rydb.,Morelloid,Section Solanum,,,
Solanum intermedium Sendtn.,Geminata,Geminata,,,
Solanum intonsum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum invictum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum involucratum Blume,Leptostemonum,EHS-Tropical Asia,,,
Solanum iodinum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum iodotrichum Van Heurck & MÙll.Arg.,Leptostemonum,Torva,,,
Solanum ionidium Bitter,Potato,Anarrhichomenum,,,
Solanum iopetalum (Bitter) Hawkes,Potato,Petota,,,
Solanum irregulare C.V.Morton,Geminata,Geminata,,,
Solanum isodynamum Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum itatiaiae Dus,Brevantherum,Brevantherum s.s.,,,
Solanum ivohibe,African non-spiny,African non-spiny,,,
Solanum jabrense Agra & M.Nee,Leptostemonum,Erythrotrichum,,,
Solanum jamaicense Mill.,Leptostemonum,Micracantha,,,
Solanum jamesii Torr.,Potato,Petota,,,
Solanum jobsonii Martine, J.Cantley & L.M.Lacey,Leptostemonum,Australia,,
Solanum johnsonianum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum johnstonii Whalen,Leptostemonum,Androceras-Crinitum,,,
Solanum jubae Bitter,Leptostemonum,EHS-Africa,,,
Solanum jucundum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum juglandifolium Dunal,Potato,Tomato,,,
Solanum julocrotonoides Hassl.,Brevantherum,Brevantherum s.s.,,,
Solanum junctum S.Stern & M.Nee,Leptostemonum,Torva,,,
Solanum juninense Bitter,Morelloid,Section Solanum,,,
Solanum jussiaei Dunal,Leptostemonum,Micracantha,,,
Solanum juvenale Thell.,Leptostemonum,Carolinense,,,
Solanum juzepczukii Bukasov,Potato,Petota,,,
Solanum karsense Symon,Leptostemonum,EHS-Australia,,,
Solanum kentrocaule A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum kioniotrichum Bitter ex J.F.Macbr.,Leptostemonum,Androceras-Crinitum,,,
Solanum kleinii L.B.Sm. & Downs,Geminata,Geminata,,,
Solanum knappiae Agra & V.S.Samp.,Geminata,Geminata,,,
Solanum knoblochii (Whalen) S.Stern,Leptostemonum,Androceras-Crinitum,,,
Solanum kollastrum Gouva & Giacomin,Leptostemonum,Erythrotrichum,,,
Solanum kriegeri Giacomin & Stehmann,Brevantherum,Inornatum,,,
Solanum kulliwaita S.Knapp,Dulcamaroid,Dulcamaroid,,,
Solanum kurtzianum Bitter & Wittm.,Potato,Petota,,,
Solanum labyrinthinum D.McClelland,Leptostemonum,,,,
Solanum lacerdae Dus?n,Brevantherum,Brevantherum s.s.,,,
Solanum lachnophyllum Symon,Leptostemonum,EHS-Australia,,,
Solanum laciniatum Aiton,Archaesolanum,Archaesolanum,,,
Solanum lacteum Vell.,Geminata,Geminata,,,
Solanum lacunarium F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum laevigatum Dunal,Geminata,Geminata,,,
Solanum lagoense Stehmann,Geminata,Geminata,,,
Solanum lamprocarpum Bitter,Leptostemonum,EHS-Africa,,,
Solanum lanceifolium Jacq.,Leptostemonum,Micracantha,,,
Solanum lanceolatum Cav.,Leptostemonum,Torva,,,
Solanum lantana Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum lanzae J.-P.Lebrun & Stork,Leptostemonum,EHS-Africa,,,
Solanum lapidosum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum lasiocarpum Dunal,Leptostemonum,Lasiocarpa,,,
Solanum lasiocladum S.Knapp,Geminata,Geminata,,,
Solanum lasiophyllum Dunal,Leptostemonum,EHS-Australia,,,
Solanum lasiopodium Dunal,Geminata,Geminata,,,
Solanum latens A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum latiflorum Bohs,Cyphomandra,Pachyphylla,,,
Solanum laurifrons Bitter,Geminata,Geminata,,,
Solanum laxissimum Bitter,Potato,Petota,,,
Solanum laxum Spreng. [3],Dulcamaroid,South American,,,
Solanum leiophyllum Benth.,Dulcamaroid,Nitidum,,,
Solanum leontopodium Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum leopoldensis Symon,Leptostemonum,EHS-Australia,,,
Solanum lepidotum Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum leptacanthum Merr. & L.M.Perry,Leptostemonum,EHS-Tropical Asia,,,
Solanum leptocaulon Van Heurck & MÙll.Arg.,Morelloid,Section Solanum,,,
Solanum leptopodum Van Heurck & MÙll.Arg.,Geminata,Geminata,,,
Solanum leptorhachis Bitter,Geminata,Geminata,,,
Solanum leptostachys Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum leratii Schltr.,Leptostemonum,EHS-Irenosolanum,,,
Solanum lesteri Hawkes & Hjert.,Potato,Petota,,,
Solanum leucandrum Whalen,Leptostemonum,Androceras-Crinitum,,,
Solanum leucocarpon Dunal,Geminata,Geminata,,,
Solanum leucodendron Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum leucopogon Huber,Leptostemonum,Micracantha,,,
Solanum lhotskyanum Dunal,Leptostemonum,Acanthophora,,,
Solanum lichtensteinii Willd.,Leptostemonum,EHS-Africa,,,
Solanum lidii Sunding,Leptostemonum,EHS,,,
Solanum lignescens Fernald,Brevantherum,Gonatotrichum,,,
Solanum lignicaule Vargas,Potato,Petota,,,
Solanum limbaniense Ochoa,Potato,Petota,,,
Solanum limitare A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum limoncochaense Tepe,Potato,Herpystichum,,,
Solanum lindenii Rusby,Geminata,Geminata,,,
Solanum linearifolium Geras. ex Symon [3],Archaesolanum,Archaesolanum,,,
Solanum linnaeanum Hepper & P.-M.L. Jaeger,Leptostemonum,EHS-Africa,,,
Solanum lithophilum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum litoraneum A.E.Gon.,Leptostemonum,EHS-Africa,,,
Solanum lobatum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum lobbianum Bitter,Potato,Petota,,,
Solanum longevirgatum Bitter,Geminata,Geminata,,,
Solanum longiconicum Bitter,Potato,Petota,,,
Solanum longifilamentum S?rkinen & P.Gonzàles,Morelloid,Section Solanum,,,
Solanum loxophyllum Bitter,Potato,Herpystichum,,,
Solanum lucani F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum lucens S.Knapp,Geminata,Geminata,,,
Solanum luculentum S.Knapp,Dulcamaroid,Dulcamaroid,,,
Solanum lumholtzianum Bartlett,Leptostemonum,Androceras-Crinitum,,,
Solanum luridifuscescens Bitter,Cyphomandra,Cyphomandropsis,,,
Solanum luteoalbum Pers.,Cyphomandra,Cyphomandropsis,,,
Solanum lycocarpum A.St.-Hil.,Leptostemonum,Androceras-Crinitum,,,
Solanum lycopersicoides Dunal,Potato,Tomato,,,
Solanum lycopersicum L.,Potato,Tomato,,,
Solanum lyratum Thunb.,Dulcamaroid,Dulcamaroid,,,
Solanum lythrocarpum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum macbridei Hunz. & Lallana,Dulcamaroid,Nitidum,,,
Solanum macoorai F.M.Bailey,Leptostemonum,EHS-Australia,,,
Solanum macracanthum A.Rich.,Leptostemonum,EHS-Africa,,,
Solanum macrocarpon L.,Leptostemonum,EHS-Africa,,,
Solanum macrothyrsum Dammer,African non-spiny,African non-spiny,,,
Solanum macrotonum Bitter,Morelloid,Section Solanum,,,
Solanum madagascariense Dunal,African non-spiny,African non-spiny,,,
Solanum maestrense Urb.,unplaced,unplaced,,,
Solanum maglia Schltdl.,Potato,Petota,,,
Solanum magnifolium F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum mahoriense,Leptostemonum,EHS-Madagascar,,,
Solanum malacothrix S.Knapp,Geminata,Geminata,,,
Solanum malignum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum malindiense Voronts.,Leptostemonum,EHS-Africa,,,
Solanum malletii S.Knapp,Geminata,Geminata,,,
Solanum malmeanum Bitter,Potato,Petota,,,
Solanum mammosum L.,Leptostemonum,Acanthophora,,,
Solanum manabiense S.Stern,Brevantherum,Gonatotrichum,,,
Solanum mapiricum S.Knapp,Geminata,Geminata,,,
Solanum mapiriense Bitter,Mapiriense,Mapiriense,,,
Solanum maranguapense Bitter,Cyphomandra,Cyphomandropsis,,,
Solanum marantifolium Bitter,Geminata,Geminata,,,
Solanum marginatum L.f.,Leptostemonum,EHS-Africa,,,
Solanum mariae S?rkinen & S.Knapp,Potato,Basarthrum,,,
Solanum marmoratum Barboza & S. Knapp,Morelloid,,,,
Solanum martii Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum matadori Smith & Downs,Cyphomandra,Cyphomandropsis,,,
Solanum maternum Bohs,Cyphomandra,Pachyphylla,,,
Solanum maturecalvans Bitter,Geminata,Geminata,,,
Solanum mauense Bitter,Leptostemonum,EHS-Africa,,,
Solanum mauritianum Scop.,Brevantherum,Brevantherum s.s.,,,
Solanum medians Bitter,Potato,Petota,,,
Solanum medicagineum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum medusae,Leptostemonum,Crinitum-Androceras,,,
Solanum megalochiton Mart.,Brevantherum,Brevantherum s.s.,,,
Solanum megalonyx Sendtn.,Leptostemonum,Erythrotrichum,,,
Solanum megaspermum Agra,Leptostemonum,Erythrotrichum,,,
Solanum melanospermum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum melastomoides C.H.Wright,Leptostemonum,EHS-Africa,,,
Solanum melissarum Bohs,Cyphomandra,Pachyphylla,,,
Solanum mellobarretoi Agra & Stehmann,Leptostemonum,Androceras-Crinitum,,,
Solanum melongena L.,Leptostemonum,EHS-Tropical Asia,,,
Solanum memaoyanum D.McClelland,Leptostemonum,,,,
Solanum memphiticum J.F.Gmel.,Morelloid,Section Solanum,,,
Solanum mentiens A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum mesopliarthrum Rojas & Steyerm.,Leptostemonum,Erythrotrichum,,,
Solanum metrobotryon Dunal,Leptostemonum,Torva,,,
Solanum michaelis S?rkinen & S.Knapp,Morelloid,Section Solanum,,,
Solanum microdontum Bitter,Potato,Petota,,,
Solanum microleprodes Bitter,Geminata,Geminata,,,
Solanum microphyllum (Lam.) Dunal,Leptostemonum,Gardneri,,,
Solanum milnei Seem.,Leptostemonum,EHS-Irenosolanum,,,
Solanum minutifoliolum Correll,Potato,Petota,,,
Solanum missimense Symon,Leptostemonum,EHS-New Guinea,,,
Solanum mitchellianum Domin,Leptostemonum,EHS-Australia,,,
Solanum mite Ruiz & Pav.,Potato,Pteroidea,,,
Solanum mitlense Dunal,Leptostemonum,Androceras-Crinitum,,,
Solanum mochiquense Ochoa,Potato,Petota,,,
Solanum moense Britton & Wilson,Leptostemonum,Leptostemonum_unplaced,,,
Solanum monachophyllum Dunal,Leptostemonum,Micracantha,,,
Solanum monadelphum Van Heurck & MÙll.Arg.,Geminata,Geminata,,,
Solanum monanthemon S.Knapp,Geminata,Geminata,,,
Solanum monarchostemon S.Knapp,Thelopodium,Thelopodium,,,
Solanum montanum L.,Potato,Regmandra,,,
Solanum morellifolium Bohs,Cyphomandra,Cyphomandropsis,,,
Solanum morelliforme Bitter & MÙnch,Potato,Petota,,,
Solanum morii S.Knapp,Geminata,Geminata,,,
Solanum morrisonii Domin,Leptostemonum,EHS-Australia,,,
Solanum mortonii Hunz.,Leptostemonum,Elaeagnifolium,,,
Solanum moxosense M.Nee,Leptostemonum,Carolinense,,,
Solanum muenscheri Standl. & Steyerm.,Dulcamaroid,Nitidum,,,
Solanum multifidum Lam.,Potato,Regmandra,,,
Solanum multiflorum Roth,Leptostemonum,EHS-Tropical Asia,,,
Solanum multiglochidiatum Domin,Leptostemonum,EHS-Australia,,,
Solanum multiinterruptum Bitter,Potato,Petota,,,
Solanum multispinum N.E.Br.,Leptostemonum,Multispinum,,,
Solanum multivenosum Symon,Archaesolanum,Archaesolanum,,,
Solanum muricatum Aiton,Potato,Basarthrum,,,
Solanum murinum Sendtn.,Brevantherum,Brevantherum s.s.,,,
Solanum myosotis Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum myoxotrichum Baker,Leptostemonum,EHS-Madagascar,,,
Solanum myriacanthum Dunal,Leptostemonum,Acanthophora,,,
Solanum myrsinoides,African non-spiny,African non-spiny,,,
Solanum narcoticosmum Bitter,Geminata,Geminata,,,
Solanum naucinum S.Knapp,Geminata,Geminata,,,
Solanum nava Webb & Berthel.,Normania,Normania,,,
Solanum neei Chiarini & L.A.Mentz,Leptostemonum,Acanthophora,,,
Solanum nelsonii Dunal,Leptostemonum,EHS-Irenosolanum,,,
Solanum nematopus Sendtn.,Leptostemonum,Thomasiifolium ,,,
Solanum nematorhachis S.Knapp,Geminata,Geminata,,,
Solanum nemophilum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum nemorense Dunal,Nemorense,Nemorense,,,
Solanum neoanglicum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum neocardenasii Hawkes & Hjert.,Potato,Petota,,,
Solanum neorickii D.M.Spooner, G.J.Anderson & R.K.Jansen,Potato,Tomato,,
Solanum neorossii Hawkes & Hjert.,Potato,Petota,,,
Solanum nienkui Merr. & Chun,Leptostemonum,EHS-Tropical Asia,,,
Solanum nigrescens M.Martens & Galeotti,Morelloid,Section Solanum,,,
Solanum nigricans M.Martens & Galeotti,Geminata,Geminata,,,
Solanum nigriviolaceum Bitter,Leptostemonum,EHS-Africa,,,
Solanum nigrum L.,Morelloid,Section Solanum,,,
Solanum nitidibaccatum Bitter,Morelloid,Section Solanum,,,
Solanum nitidum Ruiz & Pav.,Dulcamaroid,Nitidum,,,
Solanum nobile A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum nolense Symon,Leptostemonum,EHS-New Guinea,,,
Solanum novomexicanum (Bartlett) S.Stern,Leptostemonum,Androceras-Crinitum,,,
Solanum nubicola Ochoa,Potato,Petota,,,
Solanum nudum Dunal,Geminata,Geminata,,,
Solanum nummularium S.Moore,Leptostemonum,EHS-Australia,,,
Solanum nuricum M.Nee,Leptostemonum,Micracantha,,,
Solanum nutans Ruiz & Pav.,Geminata,Geminata,,,
Solanum obliquum Ruiz & Pav. [3],Cyphomandra,Pachyphylla,,,
Solanum oblongifolium Dunal,Geminata,Geminata,,,
Solanum oblongum Ruiz & Pav.,Geminata,Geminata,,,
Solanum obovalifolium BenÕtez,Geminata,Geminata,,,
Solanum occultum Bohs,Cyphomandra,Pachyphylla,,,
Solanum ochranthum Dunal,Potato,Tomato,,,
Solanum ochrophyllum Van Heurck & MÙll.Arg.,Geminata,Geminata,,,
Solanum octonum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum odoriferum Vell.,Dulcamaroid,South American,,,
Solanum oedipus Symon,Leptostemonum,EHS-Australia,,,
Solanum okadae Hawkes & Hjert.,Potato,Petota,,,
Solanum oldfieldii F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum oligacanthum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum oligandrum Symon,Leptostemonum,EHS-Australia,,,
Solanum oliveirae Carvalho,Brevantherum,Brevantherum s.s.,,,
Solanum olmosense Ochoa,Potato,Petota,,,
Solanum olympicum Hassl.,Brevantherum,Gonatotrichum,,,
Solanum ombrophilum Pittier ex S.Knapp,Geminata,Geminata,,,
Solanum oocarpum Sendtn.,Leptostemonum,Androceras-Crinitum,,,
Solanum oomsis A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum opacum A.Braun & C.D.Bouch?,Morelloid,Section Solanum,,,
Solanum oppositifolium Ruiz & Pav.,Geminata,Geminata,,,
Solanum orbiculatum Dunal,Leptostemonum,EHS-Australia,,,
Solanum orbignianum Sendtn.,Dulcamaroid,Dulcamaroid,,,
Solanum orgadophilum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum orthacanthum O.E.Schulz,Leptostemonum,Torva,,,
Solanum ortivum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum ossicruentum Martine & J.Cantley,Leptostemonum,EHS-Australia,,,
Solanum osteocarpum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum ovalifolium Dunal,Leptostemonum,Torva,,,
Solanum ovum-fringillae (Dunal) Bohs,Cyphomandra,Pachyphylla,,,
Solanum oxapampense S.Knapp,Brevantherum,Brevantherum s.s.,,,
Solanum oxycarpum Schiede,Potato,Petota,,,
Solanum oxycoccoides Bitter,Potato,Anarrhichomenum,,,
Solanum oxyphyllum C.V.Morton,Cyphomandra,Pachyphylla,,,
Solanum pabstii L.B.Sm. & Downs,Geminata,Geminata,,,
Solanum pachimatium Dunal,Brevantherum,Brevantherum s.s.,,,
Solanum pachyandrum Bitter,Wendlandii-Allophyllum,Wendlandii-Allophyllum,,,
Solanum pachyneuroides Amshoff,Leptostemonum,Leptostemonum_unplaced,,,
Solanum pachyneurum O.E.Schulz,Leptostemonum,Leptostemonum_unplaced,,,
Solanum pacificum Tepe,Potato,Herpystichum,,,
Solanum palinacanthum Dunal,Leptostemonum,Acanthophora,,,
Solanum palitans C.V.Morton,Morelloid,Radicans group,,,
Solanum pallidifolium A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum pallidum Rusby,Morelloid,Section Solanum,,,
Solanum palmillae Standl.,Geminata,Geminata,,,
Solanum paludosum Moric.,Leptostemonum,Erythrotrichum,,,
Solanum palustre Schltdl. [3],Potato,Etuberosum,,,
Solanum pampaninii Chiov.,Leptostemonum,EHS-Africa,,,
Solanum pancheri Guillaumin,Leptostemonum,EHS-Irenosolanum,,,
Solanum paniculatum L.,Leptostemonum,Torva,,,
Solanum papaverifolium Symon,Leptostemonum,EHS-Australia,,,
Solanum paposanum Phil.,Potato,Regmandra,,,
Solanum papuanum Symon,Leptostemonum,EHS-New Guinea,,,
Solanum paraibanum Agra,Leptostemonum,Thomasiifolium,,,
Solanum paralum Bohs,Leptostemonum,Pachyphylla,,,
Solanum paranense Dus?n,Brevantherum,Brevantherum s.s.,,,
Solanum parvifolium R.Br.,Leptostemonum,EHS-Australia,,,
Solanum pastillum S.Knapp,Geminata,Geminata,,,
Solanum paucidens Bitter,Morelloid,Section Solanum,,,
Solanum paucissectum Ochoa,Potato,Petota,,,
Solanum pauperum C.H.Wright,Leptostemonum,EHS-Africa,,,
Solanum pectinatum Dunal,Leptostemonum,Lasiocarpa,,,
Solanum pedemontanum M.Nee,Leptostemonum,Micracantha,,,
Solanum pedersenii Cabrera,Leptostemonum,Torva,,,
Solanum peekelii Bitter,Leptostemonum,EHS-Dunaliana,,,
Solanum peikouense,Leptostemonum,Torva,,,
Solanum peikuoense,Leptostemonum,Torva,,,
Solanum pelagicum Bohs,Cyphomandra,Pachyphylla,,,
Solanum pendulum Ruiz & Pav.,Cyphomandra,Pachyphylla,,,
Solanum pennellii Correll,Potato,Tomato,,,
Solanum pentaphyllum Bitter,Potato,Herpystichum,,,
Solanum pentlandii Dunal,Morelloid,Section Solanum,,,
Solanum pereirae Carvalho,Brevantherum,Brevantherum s.s.,,,
Solanum perlongistylum G.J.Anderson, Martine, Prohens & Nuez,Potato,Basarthrum,
Solanum perplexum Small,Leptostemonum,Carolinense,,,
Solanum pertenue Standl. & C.V.Morton,Geminata,Geminata,,,
Solanum peruvianum L.,Potato,Tomato,,,
Solanum petilum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum petraeum Symon,Leptostemonum,EHS-Australia,,,
Solanum petrophilum F.Muell.,Leptostemonum,EHS-Australia,,,
Solanum phaseoloides Pol.,Potato,Herpystichum,,,
Solanum phlomoides A.Cunn. ex Benth.,Leptostemonum,EHS-Australia,,,
Solanum phoberum A.R.Bean,Leptostemonum,EHS-Australia,,,
Solanum phoxocarpum Voronts.,Leptostemonum,EHS-Africa,,,
